FIPS,State,County,Society_HEALTH,Society_HEALTH_LengthofLife,Society_HEALTH_QualityofLife,Society_HEALTH_HealthBehaviors,Society_HEALTH_HealthResources,Society_HEALTH_LifeExpectancy,Society_WEALTH,Society_WEALTH_MedianHouseholdIncome,Society_WEALTH_HomeOwnership,Society_WEALTH_IncomeRatio(8020),Society_WEALTH_ChildPoverty,Society_EDUCATIONINDEX,Society_EDUCATIONINDEX_Pre-KParticipation,Society_EDUCATIONINDEX_SchoolSpendingPerPupil,Society_EDUCATIONINDEX_HighSchoolCompletionRate,Society_EDUCATIONINDEX_AssociateDegree,Society_EDUCATIONINDEX_KEYINDICATORCollegeDegree,Society_EDUCATIONINDEX_AdvancedDegree,Society_COMMUNITYINDEX,Society_COMMUNITYINDEX_SevereHousingProblems,Society_COMMUNITYINDEX_FoodInsecurity,Society_COMMUNITYINDEX_LongCommute&DrivesAlone,Society_COMMUNITYINDEX_ResidentialInternetService,Society_COMMUNITYINDEX_ViolentCrimeRate,Society_COMMUNITYINDEX_ParksAccess,"Society_COMMUNITYINDEX_Arts&CultureOrgs100,000",Society_POPULATION,Society_POPULATION_WorkingAge(18-65),Society_POPULATION_Children(0-18),Society_POPULATION_Retired,Society_POPULATION_Minorities,Society_POPULATION_Rural,Economy_Business,Economy_Business_GDP2021(Thousands),Economy_Business_KEYINDICATORGDPCAPITA,Economy_Business_GDPAnnualGrowth(),Economy_Business_RatioofEstablishmentBirthsDeaths2020,Economy_Business_NetJobsCreatedLost2020,"Economy_Business_Patents10,000Decade2005-2015",Economy_GOVERNMENT,Economy_GOVERNMENT_KEYINDICATORViolentCrimeRate,Economy_GOVERNMENT_ParksAccess,Economy_GOVERNMENT_SevereHousingProblems,Economy_GOVERNMENT_HighSchoolCompletionRate,Economy_GOVERNMENT_GOVofTotalEmployment,Economy_GOVERNMENT_VoterParticipationPresYr,Economy_GOVERNMENT_VoterParticipationMid-term,Economy_GOVERNMENT_DependencyRatio,Economy_NON-PROFIT,"Economy_NON-PROFIT_KEYINDICATOR#Non-profits10,000People",Economy_NON-PROFIT_NONPROFITofTotalEmployment,Economy_NON-PROFIT_WageRatio,Economy_EMPLOYMENT,Economy_EMPLOYMENT_UnemploymentRate,Economy_EMPLOYMENT_PrivateCompanyAnnualAveragePay,Economy_EMPLOYMENT_LocalGovernmentAnnualAveragePay,Economy_EMPLOYMENT_StateGovernmentAveragePay,Economy_EMPLOYMENT_FederalGovernmentAverageAnnualPay,Economy_EMPLOYMENT_LivingWage(Familyof3),Economy_EMPLOYMENT_Payequality-women,Economy_ENERGY,Economy_ENERGY_KEYINDICATORRenewableEnergy,Economy_ENERGY_TransportationElectricVehicles,Economy_ENERGY_EnergyEfficiencyPolicyRank*,Nature_PLANET,"Nature_PLANET_CO2Capita2021(stateavg,metrictons)",Nature_PLANET_Biodiversityregionalbirdcensus,Nature_PLANET_AirQualityindexPM2.5,Nature_PLANET_Waterconservation(GallonsPersonDay),Nature_PLANET_SoilQualityIndex,Nature_PLANET_TreeCoverage
01001,Alabama,Autauga,43,50,38,50,34,45,56,77,52,30,64,53,,2,53,48,77,83,37,29,29,25,73,29,52,23,72,61,23,16,28,42,29,62,19,16,50,18,8,50,29,52,29,53,59,52,,78,,,,,56,89,40,63,70,50,68,14,14,14,9,19,57,35,,,62,,74
01003,Alabama,Baldwin,57,57,51,64,54,61,66,75,69,56,63,63,,27,64,54,84,84,50,54,49,35,84,33,41,56,91,57,21,21,17,42,66,88,35,90,80,67,33,41,33,41,54,64,19,48,25,42,30,13,18,58,59,86,46,71,40,61,79,32,14,14,9,19,48,35,,57,42,,57
01005,Alabama,Barbour,16,7,1,23,33,9,9,4,11,17,5,9,,3,4,22,4,14,23,16,3,37,4,23,46,34,48,59,21,20,55,68,38,42,27,30,11,73,47,30,23,46,16,4,47,12,25,68,,,,,42,22,22,42,49,51,80,30,14,14,9,19,57,35,,,56,,81
01007,Alabama,Bibb,21,14,13,33,25,13,35,24,78,21,15,12,,18,11,16,6,9,26,65,14,5,19,18,51,11,45,63,20,17,26,68,28,26,5,16,47,72,0,44,18,51,65,11,73,13,25,93,,,,,61,74,64,29,49,72,68,73,14,14,9,19,67,35,,,73,,92
01009,Alabama,Blount,33,19,39,49,26,18,55,51,79,29,61,32,,5,21,83,18,33,27,80,36,2,45,16,10,1,72,58,23,19,14,90,36,51,4,96,12,38,14,40,16,10,80,21,67,44,25,54,36,6,15,87,48,95,28,39,20,35,33,86,14,14,9,19,52,35,,,42,,79
01011,Alabama,Bullock,16,15,0,22,26,15,6,1,16,3,2,9,,21,6,6,6,6,26,46,17,10,2,66,6,37,24,61,21,18,79,51,23,15,15,8,33,48,19,45,66,6,46,6,49,26,75,82,,,,,48,63,35,43,64,48,68,12,14,14,9,19,46,35,,,24,,79
01013,Alabama,Butler,17,9,5,29,24,13,17,5,43,14,6,23,,8,29,25,14,38,28,60,15,42,25,7,16,31,40,56,23,21,49,71,46,40,43,91,47,29,26,28,7,16,60,29,17,40,25,30,,,,,43,28,22,54,51,22,47,75,14,14,9,19,67,35,,,80,,86
01015,Alabama,Calhoun,27,10,16,43,40,8,28,23,36,29,24,37,,18,27,30,45,64,36,58,16,57,49,8,56,7,83,60,22,18,29,34,43,81,47,64,19,6,41,43,8,56,58,27,73,21,25,72,21,19,9,35,54,58,30,62,53,51,85,41,14,14,9,19,63,35,,,70,,83
01017,Alabama,Chambers,20,15,6,30,28,15,29,16,29,62,9,23,,14,18,59,12,10,27,15,24,62,28,3,28,,58,59,21,20,45,49,43,47,18,50,54,82,9,31,3,28,15,18,50,23,50,63,,,,,43,70,37,63,22,44,8,55,14,14,9,19,63,35,,,67,,87
01019,Alabama,Cherokee,24,15,26,30,27,17,36,18,77,29,20,32,,25,9,68,9,48,29,85,32,16,26,9,22,15,49,57,19,24,9,86,31,34,10,95,9,17,20,36,9,22,85,9,65,28,26,40,25,41,11,22,51,94,19,47,39,28,44,85,14,14,9,19,56,35,,,56,,76
