FIPS,State,County,Health_Overall,Health_Length_of_Life,Health_Quality_of_Life,Health_Behaviors,Health_Resources,Health_Life_Expectancy,Wealth_Overall,Wealth_Income,Wealth_Housing,Wealth_Income_Ratio,Wealth_Child_Poverty,Education_Overall,Education_School_Spending,Education_High_School,Education_Associate_Degree,Education_College_Degree,Education_Advanced_Degree,Community_Overall,Community_Severe_Housing_Problems,Community_Food_Insecurity,Community_Long_Commute,Community_Residential_Internet_Service,Community_Violent_Crime_Rate,Community_Parks_Access
1001,Alabama,Autauga,43%,50%,38%,50%,34%,45%,56%,77%,52%,30%,64%,53%,2%,53%,48%,77%,83%,37%,29%,29%,25%,73%,29%,52%
1003,Alabama,Baldwin,57%,57%,51%,64%,54%,61%,66%,75%,69%,56%,63%,63%,27%,64%,54%,84%,84%,50%,54%,49%,35%,84%,33%,41%
1005,Alabama,Barbour,16%,7%,1%,23%,33%,9%,9%,4%,11%,17%,5%,9%,3%,4%,22%,4%,14%,23%,16%,3%,37%,4%,23%,46%
1007,Alabama,Bibb,21%,14%,13%,33%,25%,13%,35%,24%,78%,21%,15%,12%,18%,11%,16%,6%,9%,26%,65%,14%,5%,19%,18%,51%
1009,Alabama,Blount,33%,19%,39%,49%,26%,18%,55%,51%,79%,29%,61%,32%,5%,21%,83%,18%,33%,27%,80%,36%,2%,45%,16%,10%
1011,Alabama,Bullock,16%,15%,0%,22%,26%,15%,6%,1%,16%,3%,2%,9%,21%,6%,6%,6%,6%,26%,46%,17%,10%,2%,66%,6%
1013,Alabama,Butler,17%,9%,5%,29%,24%,13%,17%,5%,43%,14%,6%,23%,8%,29%,25%,14%,38%,28%,60%,15%,42%,25%,7%,16%
1015,Alabama,Calhoun,27%,10%,16%,43%,40%,8%,28%,23%,36%,29%,24%,37%,18%,27%,30%,45%,64%,36%,58%,16%,57%,49%,8%,56%
1017,Alabama,Chambers,20%,15%,6%,30%,28%,15%,29%,16%,29%,62%,9%,23%,14%,18%,59%,12%,10%,27%,15%,24%,62%,28%,3%,28%
1019,Alabama,Cherokee,24%,15%,26%,30%,27%,17%,36%,18%,77%,29%,20%,32%,25%,9%,68%,9%,48%,29%,85%,32%,16%,26%,9%,22%
1021,Alabama,Chilton,26%,23%,21%,35%,23%,20%,49%,45%,50%,68%,34%,17%,2%,15%,24%,12%,33%,23%,28%,18%,9%,33%,48%,19%
1023,Alabama,Choctaw,23%,13%,7%,31%,40%,19%,28%,7%,94%,3%,8%,28%,53%,11%,64%,6%,6%,35%,77%,11%,13%,4%,100%,3%
1025,Alabama,Clarke,17%,4%,7%,30%,28%,4%,20%,16%,44%,6%,14%,23%,25%,17%,30%,13%,30%,22%,53%,4%,41%,7%,14%,12%
1027,Alabama,Clay,18%,8%,13%,34%,17%,9%,27%,20%,65%,3%,18%,27%,10%,19%,81%,11%,16%,42%,92%,27%,28%,16%,20%,69%
1029,Alabama,Cleburne,28%,21%,31%,38%,21%,20%,43%,27%,69%,40%,35%,16%,6%,19%,19%,27%,11%,42%,85%,16%,4%,14%,63%,68%
1031,Alabama,Coffee,34%,33%,28%,35%,39%,29%,33%,45%,28%,30%,27%,53%,13%,33%,90%,60%,67%,43%,82%,28%,55%,64%,46%,19%
1033,Alabama,Colbert,33%,16%,31%,45%,38%,15%,38%,40%,42%,41%,29%,39%,40%,35%,38%,34%,50%,42%,71%,18%,72%,19%,28%,45%
1035,Alabama,Conecuh,14%,2%,4%,25%,23%,3%,38%,2%,77%,64%,7%,28%,12%,39%,46%,8%,34%,34%,91%,17%,27%,3%,66%,5%
1037,Alabama,Coosa,21%,10%,16%,30%,29%,16%,46%,17%,86%,68%,13%,27%,47%,27%,54%,4%,5%,38%,63%,34%,35%,20%,63%,10%
1039,Alabama,Covington,26%,10%,22%,36%,35%,9%,24%,13%,55%,11%,16%,35%,10%,27%,71%,23%,43%,34%,50%,14%,62%,21%,22%,40%
1041,Alabama,Crenshaw,20%,9%,12%,31%,30%,8%,21%,4%,57%,7%,15%,20%,6%,13%,35%,27%,21%,40%,93%,23%,15%,4%,100%,3%
1043,Alabama,Cullman,38%,18%,40%,44%,50%,16%,54%,45%,54%,59%,57%,36%,20%,23%,74%,27%,35%,37%,72%,27%,49%,51%,23%,24%
1045,Alabama,Dale,27%,24%,11%,40%,32%,25%,22%,28%,8%,17%,33%,36%,10%,25%,63%,39%,41%,32%,57%,10%,64%,54%,19%,18%
1047,Alabama,Dallas,16%,3%,1%,26%,35%,3%,6%,1%,9%,12%,1%,44%,49%,30%,74%,25%,43%,21%,15%,2%,52%,15%,1%,57%
1049,Alabama,DeKalb,22%,17%,14%,31%,26%,15%,25%,15%,48%,24%,14%,26%,7%,7%,64%,16%,34%,31%,68%,17%,48%,40%,15%,26%
